PatternID,Text,Cause,Effect
82,Plate movements trigger volcanoes. A huge eruption could spew so much gas and ash into the air that little sunlight would reach the surface for months or years. This could lower Earths temperature.,A huge eruption could spew so much,little sunlight would reach the surface for months or years .
76,You can see a lump of carbon in Figure 18.10. Carbon is incredibly important because of what it makes when it combines with many other elements. Carbon can form a wide variety of substances.,of what it makes when it combines with many other,Carbon is incredibly important
44,"Burning wood releases more carbon dioxide into the atmosphere. You can see how a tropical rainforest was cleared for farming in Figure 18.12. With forests shrinking, there are fewer trees to remove carbon dioxide from the air.",farming in Figure 18.12,You can see how a tropical rainforest was cleared
5,"Adding fertilizer to soil allows more plants to grow. As a result, a given amount of land can produce more food. So far, so good.",Adding fertilizer to soil allows more plants to grow,a given amount of land can produce more food .
79,The nitrogen is a fertilizer in the water bodies. Since there is a lot of nitrogen it causes algae to grow out of control. Figure 18.14 shows a pond covered with algae.,there is a lot of nitrogen it causes algae to grow out of control .,The nitrogen is a fertilizer in the water bodies .
82,"Figure 18.14 shows a pond covered with algae. Algae may use up so much oxygen in the water that nothing else can grow. Soon, even the algae die out.",Algae may use up so much,nothing else can grow .
76,This creates a dead zone. A dead zone is an area in a body of water where nothing grows because there is too little oxygen. There is a large dead zone in the Gulf of Mexico.,there is too little oxygen .,A dead zone is an area in a body of water where nothing grows
68," In the carbon cycle, carbon moves through living and nonliving things. Carbon actually moves through two cycles that overlap.",living and nonliving things,"In the carbon cycle , carbon moves"
29," More recently, the death rate has fallen because of the availability of more food and medical advances: A green revolution began in the mid 1900s. New methods and products increased how much food could be grown.","More recently , the death rate has fallen",: A green revolution began in the mid 1900s .
76,But some people think there are too many of us already. Thats because we are harming the environment. Supplying all those people with energy creates a lot of pollution.,we are harming the environment .,But some people think there are too many of us already . Thats
80,"Wetlands have a great diversity of species. As wetlands shrink, species go extinct. People have allowed alien or invasive species - species originally from a different area - to invade new habitats.","wetlands shrink , species go extinct .",Wetlands have a great diversity of species .
15,"d = death rate (number of deaths in 1 year per 100 population members) If the birth rate is greater than the death rate, r is positive. This means that the population is growing bigger.",the birth rate is greater than the death rate,r is positive .
15,"A population growing at this rate would double in size in just 35 years! If the birth rate is less than the death rate, r is negative. This means that the population is becoming smaller.",the birth rate is less than the death rate,r is negative .
